NIK,NIK_valid,biometric_flag,age,gender,provider_id,diagnosis_code,procedure_code,num_diagnoses,num_procedures,length_of_stay,total_claim_amount,service_date,claim_date,verification_method,tarif_standar_diagnosis,diagnosis_cost_ratio
0285322132812752,1,1,27,F,RS005,J45.9,93.96,3,3,0,2006842,2024-01-13,2024-01-17,manual,2300000,0.87254
7251822732631399,1,0,3,M,RS006,H25.9,13.1,1,2,0,8562782,2024-01-11,2024-01-20,auto,7500000,1.1417042666666666
7541578413730750,0,1,70,F,RS005,R50.9,99.19,1,2,0,9024008,2024-01-10,2024-01-22,auto,1000000,9.024008
2693409025539426,1,1,44,F,RS004,R50.9,99.19,1,3,0,1874756,2024-01-23,2024-01-26,manual,1000000,1.874756
7233946956374854,1,1,50,F,RS009,I25.1,99.24,1,1,3,9918327,2024-01-15,2024-01-27,manual,5000000,1.9836654
9188980948286496,0,1,17,F,RS002,I25.1,36.15,1,4,4,2230173,2024-01-12,2024-01-30,auto,5000000,0.4460346
1948015858157296,1,1,60,M,RS006,Z00.0,93.99,3,2,0,2280621,2024-01-05,2024-01-31,auto,700000,3.25803
7196613456778908,1,1,18,F,RS003,Z03.8,93.91,3,3,0,6951180,2024-01-30,2024-02-05,manual,1200000,5.79265
5098979179636566,0,1,12,M,RS002,N39.0,57.94,2,4,0,8984575,2024-01-24,2024-02-12,auto,2200000,4.083897727272728
2288138832112223,1,0,72,M,RS010,K29.7,45.16,1,2,2,8484967,2024-01-09,2024-02-12,manual,1700000,4.9911570588235294
4412476244484100,1,1,4,F,RS006,N39.0,57.98,1,3,0,4579316,2024-01-11,2024-02-17,manual,2200000,2.0815072727272725
7052530558642372,1,0,9,F,RS005,Z34.0,73.0,1,3,2,6661461,2024-02-01,2024-02-19,manual,800000,8.32682625
2549436835722058,1,1,28,F,RS003,N39.0,57.94,1,3,0,3167687,2024-02-14,2024-02-19,manual,2200000,1.4398577272727273
4207896064408625,1,1,20,M,RS005,R50.9,99.19,2,2,2,4479099,2024-01-05,2024-02-19,auto,1000000,4.479099
9310857938702230,1,1,60,M,RS001,A09,45.23,1,4,4,7323632,2024-02-05,2024-02-19,auto,1300000,5.633563076923077
6462214513185217,1,1,14,M,RS002,H25.9,13.1,1,2,0,9622080,2024-02-17,2024-02-22,manual,7500000,1.282944
8154295045098397,1,1,34,F,RS007,Z34.0,73.0,1,1,2,7451896,2024-01-13,2024-02-22,manual,800000,9.31487
2291642173917775,0,1,75,F,RS002,I25.1,36.15,1,1,3,9884585,2024-01-31,2024-02-23,manual,5000000,1.976917
3385727074198254,1,1,13,M,RS005,E11,99.10,2,3,1,9411113,2024-02-19,2024-02-24,auto,2500000,3.7644452
6799403522212861,1,1,70,M,RS001,O80,72.0,1,3,4,7704773,2024-01-06,2024-02-26,manual,3500000,2.2013637142857143
6783988416654665,1,1,73,M,RS009,H25.9,13.4,3,2,0,3258710,2024-01-20,2024-02-27,auto,7500000,0.43449466666666664
6875639298000694,1,0,1,M,RS001,R50.9,99.19,2,3,2,995028,2024-01-18,2024-02-28,manual,1000000,0.995028
6525350322602392,1,1,28,M,RS007,R50.9,99.19,3,3,0,7552345,2024-01-23,2024-02-28,manual,1000000,7.552345
1505840257036345,1,1,34,F,RS002,K21.0,45.16,3,2,0,4653180,2024-01-01,2024-02-29,auto,1400000,3.3237
2131451356655480,1,1,60,M,RS004,O80,72.0,1,1,2,5664741,2024-02-23,2024-02-29,manual,3500000,1.6184974285714286
3705483788553762,1,1,8,F,RS007,R50.9,99.19,3,1,1,3924764,2024-02-13,2024-03-04,auto,1000000,3.924764
