NIK,NIK_valid,biometric_flag,age,gender,provider_id,diagnosis_code,procedure_code,num_diagnoses,num_procedures,length_of_stay,total_claim_amount,service_date,claim_date,verification_method,tarif_standar_diagnosis,diagnosis_cost_ratio,avg_cost_per_procedure,verification_delay_days,duplicate_ID_count,duplicate_ID_count_month,time_between_admissions,num_claims_last_30d_by_provider,num_unique_patients_last_30d,provider_claim_rate_vs_peer,claim_rejection_rate_provider,year_month,month_over_month_claim_growth,sudden_spike_flag,new_provider_month_flag,avg_claim_per_patient,claim_fragmentation,claim_fragmentation_score,service_mix_index,provider_id_default,fraud_score,los_anomaly_flag,provider_balance_score,fraud_label
6757598850273450,1,1,24,M,RS007,J45.9,93.96,1,1,1,1043379,2024-01-08,2024-01-17,auto,2300000,0.4536430434782608,1043379.0,9,5,0,0.0,1,1,1.0592012001907063,0.0486633931239174,2024-01,0.0,0,1,1043379.0,0,0,4.175275247137288,RS007,13.0,0,0,NORMAL
2968380930018242,1,1,53,M,RS004,O80,72.0,3,1,2,4091496,2024-01-09,2024-01-29,manual,3500000,1.1689988571428571,4091496.0,20,6,0,0.0,1,1,1.0020465598775556,0.0410903427517223,2024-01,0.0,0,1,4091496.0,0,0,4.144682110587729,RS004,19.0,0,2,NORMAL
7416102911463515,1,1,81,F,RS004,Z03.8,93.91,1,3,1,8129630,2024-01-12,2024-01-30,manual,1200000,6.774691666666667,2709876.6666666665,18,3,0,0.0,2,2,1.0020465598775556,0.0216389775968486,2024-01,0.0,0,1,4064815.0,0,0,4.144682110587729,RS004,52.0,0,0,MEDIUM
4561408049739209,1,1,60,M,RS008,J45.9,93.96,2,1,0,7254962,2024-01-10,2024-02-08,manual,2300000,3.154331304347826,7254962.0,29,2,0,0.0,1,1,1.104849771616958,0.1010556904621538,2024-02,0.0,1,1,7254962.0,0,0,4.187444153526895,RS008,57.0,0,0,MEDIUM
7834259476200810,1,0,34,M,RS006,K21.0,45.16,3,2,0,9151404,2024-01-10,2024-02-09,manual,1400000,6.5367171428571424,4575702.0,30,6,0,0.0,1,1,0.9113429635844886,0.0916507950491283,2024-02,0.0,1,1,9151404.0,0,0,4.188377225684983,RS006,87.0,0,2,HIGH
0348063987177377,1,0,8,F,RS010,J00,93.9,1,1,3,2941230,2024-01-29,2024-02-09,manual,500000,5.88246,2941230.0,11,3,0,0.0,1,1,0.9678735089127852,0.1331032403176215,2024-02,0.0,1,1,2941230.0,0,0,4.1682773779312186,RS010,81.0,0,6,HIGH
9435975570146007,1,1,50,F,RS002,E66.9,99.28,3,1,0,9382263,2024-01-10,2024-02-12,auto,1000000,9.382263,9382263.0,33,1,0,0.0,1,1,0.8596363164695896,0.0361586390531208,2024-02,0.0,1,1,9382263.0,0,0,4.189745699187344,RS002,61.0,0,0,MEDIUM
2054068799725330,1,1,33,F,RS009,J45.9,93.96,3,1,0,9293453,2024-02-03,2024-02-12,auto,2300000,4.0406317391304345,9293453.0,9,3,0,0.0,1,1,1.0510847174228308,0.0257964520554387,2024-02,0.0,1,1,9293453.0,0,0,4.196372502468529,RS009,65.0,0,0,MEDIUM
4655820697713478,1,1,39,F,RS007,I25.1,36.15,1,2,3,9885473,2024-01-19,2024-02-14,manual,5000000,1.9770946,4942736.5,26,4,0,0.0,2,2,1.0592012001907063,0.1013346026255459,2024-02,0.0,0,0,4942736.5,0,0,4.175275247137288,RS007,19.0,0,2,NORMAL
4255098467188326,0,1,46,M,RS010,I25.1,99.24,3,2,1,2688447,2024-02-09,2024-02-19,manual,5000000,0.5376894,1344223.5,10,1,0,0.0,2,2,0.9678735089127852,0.1026937325036704,2024-02,0.0,1,1,1344223.5,0,0,4.1682773779312186,RS010,23.0,0,0,NORMAL
